product_id,product_name,brand,final_price,initial_price,discount,review_count,rating,category_name,root_category_name,available_for_delivery,available_for_pickup
5168635291,Men's Home Alone Merry Christmas Ugly Sweater  Graphic Tee Navy Blue Heather 2X Large,Home Alone,16.0,18.99,3.0,1,5,Men's Movies and TV Tees,Clothing,True,False
247854986,Zenana Women & Plus (S-3X) Soft Rayon Long Sleeve Dolphin Hem V-Neck Tee Shirt Top,Zenana,14.3,22.99,8.74,2,2.5,Halloween Themed Clothing,Party & Occasions,True,False
1435905497,"Short Queen Size Tailored Drop Ruffled Solid Bed Skirt with Adjustable Elastic Belt Microfiber Fabric Fade & Wrinkle Resistant Bed Frame Cover Easy to Fit & Care (10 Inch Drop, Lilac)",Dee's Collection,30.6,33.99,3.4,1,1,Toddler Bedding Sets & Sheets,Baby,True,False
424240661,Shop LC TAMSY Navy Color Rayon Lycra Polyester V Neck Full Sleeve Woven Top-XL,Shop LC,35.6,39.59,3.96,3,5,Womens Tops,Clothing,True,False
931121091,"rabbitgoo Dog Harness, No-Pull Pet Harness with 2 Leash Clips, Adjustable Soft Padded Dog Vest, Reflective Outdoor Pet Oxford Vest with Easy Control Handle for Large Dogs, Beige",Rabbitgoo,20.0,35.98,16.0,324,4.5,No Pull Dog Harnesses,Pets,True,False
1615356970,"Pntutb Womens Short Clearance,Women's Comfy Drawstring Splice Casual Elastic Waist Loose Shorts Pants",PNTUTB,5.09,5.79,0.7,38,3.3,Womens Shorts,Clothing,True,False
2727778509,Ryka Womens Ellie Open Toe Slip On Wedge Sandals,Ryka,38.0,54.98,16.99,1,5,Wedge Heels,Clothing,True,False
5213945506,"(2 Pack) Alliwise Magnesium Glycinate 400mg Natural Mineral Supplement, Support Sleep, Bone Health, Immunity Support & Heart Health, 240 Veg Capsules",Alliwise,24.0,35.99,12.0,15,4.5,All Vitamins & Supplements,Health and Medicine,True,False
145946079,Maidenform Tailored Cotton Boyshort Dream Comfortable Non binding Stretch Soft Underwear,Maidenform,9.73,12.0,2.27,693,4.5,Womens Panties,Clothing,True,False
1840373646,Full Size Luxury Extrasoft 100% Supima Cotton 4 Piece Sheets Set in Hotel Quality Sateen Weave Plum Solid 15 Inch Deep Pocket,Dee's Collection,76.5,84.99,8.5,2,3,Toddler Bedding Sets & Sheets,Baby,True,False
